item_density,num_anti_agents,repetition_id,biggest_cluster_size
0.05,0,1,23
0.05,0,2,13
0.05,0,3,13
0.05,0,4,25
0.05,0,5,23
0.05,0,6,27
0.05,0,7,27
0.05,0,8,12
0.05,0,9,22
0.05,0,10,20
0.05,5,1,8
0.05,5,2,15
0.05,5,3,16
0.05,5,4,12
0.05,5,5,8
0.05,5,6,12
0.05,5,7,19
0.05,5,8,23
0.05,5,9,8
0.05,5,10,27
0.05,10,1,12
0.05,10,2,9
0.05,10,3,12
0.05,10,4,6
0.05,10,5,11
0.05,10,6,12
0.05,10,7,11
0.05,10,8,6
0.05,10,9,12
0.05,10,10,7
0.05,15,1,7
0.05,15,2,11
0.05,15,3,9
0.05,15,4,12
0.05,15,5,10
0.05,15,6,5
0.05,15,7,11
0.05,15,8,9
0.05,15,9,12
0.05,15,10,7
0.05,20,1,13
0.05,20,2,7
0.05,20,3,5
0.05,20,4,8
0.05,20,5,10
0.05,20,6,9
0.05,20,7,11
0.05,20,8,6
0.05,20,9,7
0.05,20,10,6
0.05,25,1,14
0.05,25,2,8
0.05,25,3,7
0.05,25,4,10
0.05,25,5,8
0.05,25,6,4
0.05,25,7,10
0.05,25,8,6
0.05,25,9,3
0.05,25,10,8
0.05,30,1,6
0.05,30,2,7
0.05,30,3,6
0.05,30,4,7
0.05,30,5,7
0.05,30,6,5
0.05,30,7,6
0.05,30,8,9
0.05,30,9,13
0.05,30,10,8
0.05,40,1,6
0.05,40,2,4
0.05,40,3,4
0.05,40,4,5
0.05,40,5,13
0.05,40,6,9
0.05,40,7,8
0.05,40,8,10
0.05,40,9,5
0.05,40,10,4
0.05,50,1,7
0.05,50,2,8
0.05,50,3,6
0.05,50,4,6
0.05,50,5,5
0.05,50,6,7
0.05,50,7,4
0.05,50,8,6
0.05,50,9,7
0.05,50,10,6
0.1,0,1,29
0.1,0,2,17
0.1,0,3,28
0.1,0,4,26
0.1,0,5,23
0.1,0,6,30
0.1,0,7,31
0.1,0,8,23
0.1,0,9,37
0.1,0,10,31
0.1,5,1,19
0.1,5,2,21
0.1,5,3,15
0.1,5,4,24
0.1,5,5,20
0.1,5,6,14
0.1,5,7,15
0.1,5,8,13
0.1,5,9,25
0.1,5,10,17
0.1,10,1,9
0.1,10,2,9
0.1,10,3,14
0.1,10,4,14
0.1,10,5,13
0.1,10,6,21
0.1,10,7,15
0.1,10,8,11
0.1,10,9,13
0.1,10,10,11
0.1,15,1,9
0.1,15,2,9
0.1,15,3,12
0.1,15,4,9
0.1,15,5,7
0.1,15,6,7
0.1,15,7,13
0.1,15,8,7
0.1,15,9,12
0.1,15,10,9
0.1,20,1,9
0.1,20,2,11
0.1,20,3,10
0.1,20,4,9
0.1,20,5,16
0.1,20,6,10
0.1,20,7,5
0.1,20,8,11
0.1,20,9,5
0.1,20,10,8
0.1,25,1,10
0.1,25,2,11
0.1,25,3,6
0.1,25,4,11
0.1,25,5,8
0.1,25,6,6
0.1,25,7,8
0.1,25,8,6
0.1,25,9,7
0.1,25,10,10
0.1,30,1,12
0.1,30,2,7
0.1,30,3,7
0.1,30,4,7
0.1,30,5,7
0.1,30,6,13
0.1,30,7,7
0.1,30,8,9
0.1,30,9,10
0.1,30,10,15
0.1,40,1,8
0.1,40,2,5
0.1,40,3,7
0.1,40,4,6
0.1,40,5,6
0.1,40,6,7
0.1,40,7,6
0.1,40,8,11
0.1,40,9,6
0.1,40,10,6
0.1,50,1,6
0.1,50,2,6
0.1,50,3,6
0.1,50,4,8
0.1,50,5,6
0.1,50,6,6
0.1,50,7,7
0.1,50,8,8
0.1,50,9,7
0.1,50,10,7
0.2,0,1,17
0.2,0,2,17
0.2,0,3,21
0.2,0,4,11
0.2,0,5,18
0.2,0,6,48
0.2,0,7,22
0.2,0,8,17
0.2,0,9,23
0.2,0,10,12
0.2,5,1,15
0.2,5,2,25
0.2,5,3,19
0.2,5,4,19
0.2,5,5,15
0.2,5,6,31
0.2,5,7,14
0.2,5,8,30
0.2,5,9,14
0.2,5,10,14
0.2,10,1,15
0.2,10,2,13
0.2,10,3,13
0.2,10,4,12
0.2,10,5,11
0.2,10,6,14
0.2,10,7,16
0.2,10,8,13
0.2,10,9,17
0.2,10,10,14
0.2,15,1,11
0.2,15,2,15
0.2,15,3,17
0.2,15,4,16
0.2,15,5,12
0.2,15,6,15
0.2,15,7,10
0.2,15,8,10
0.2,15,9,14
0.2,15,10,9
0.2,20,1,12
0.2,20,2,11
0.2,20,3,8
0.2,20,4,10
0.2,20,5,10
0.2,20,6,9
0.2,20,7,9
0.2,20,8,9
0.2,20,9,14
0.2,20,10,10
0.2,25,1,12
0.2,25,2,10
0.2,25,3,11
0.2,25,4,9
0.2,25,5,13
0.2,25,6,8
0.2,25,7,8
0.2,25,8,7
0.2,25,9,9
0.2,25,10,23
0.2,30,1,8
0.2,30,2,9
0.2,30,3,11
0.2,30,4,10
0.2,30,5,12
0.2,30,6,11
0.2,30,7,8
0.2,30,8,9
0.2,30,9,7
0.2,30,10,9
0.2,40,1,9
0.2,40,2,9
0.2,40,3,13
0.2,40,4,10
0.2,40,5,10
0.2,40,6,9
0.2,40,7,12
0.2,40,8,13
0.2,40,9,9
0.2,40,10,10
0.2,50,1,9
0.2,50,2,8
0.2,50,3,8
0.2,50,4,7
0.2,50,5,10
0.2,50,6,7
0.2,50,7,7
0.2,50,8,10
0.2,50,9,7
0.2,50,10,7
